advClientId,clientid_cr,pubClientId,clickIp,clmbUserId,imprId,siteId,goalid_cr,cityId_cr,stateDimId,countryDimId_cr,browserId_cr,adSltDimId,crtd,itmClmbLId,ispDimId,devTypeDimId,osVerDimId,conversion_fraud
75694,75694,2658,0,c42b383f-1e7f-4050-afac-3fb37302c8e3-1sjfw,0013e0b5-5374-4c37-8c98-1679f12dd466-10oa0,3,6384,435,266737,144,129639,33,73,41,28,52,73,FALSE
75694,75694,85030,0,bd0b69b9-7b33-482c-b752-d509a1b04476-1siwg,005f31e9-071c-4440-9cad-3a069264ced6-10oqo,3290,6384,0,266913,144,129639,356952,1.62E+12,5488773,199452,202038,196460,FALSE
75694,75694,85030,0,e4249592-7b46-489b-8573-7886cbdf6b17-3rms,0090e453-972f-4dbf-aa59-437403c08bba-10ol4,3290,6384,0,133765,144,129639,356952,1.62E+12,5488088,199452,202038,196460,FALSE
82122,82122,2501,96.234.122.180,acf0a694-bdf2-4941-9a04-c2a555c0f6f0-62t8,00e6dd30-4d48-45b0-afe5-4ee74af64d19-1sjzc,26,8628,0,2428,145,129639,339648,1.62E+12,5526656,186936,196047,199452,FALSE
75694,75694,2320,0,31629cd0-0b34-460f-aa61-80c3234e1225-1sjfw,01649076-c77f-4d70-afc8-213535427147-1sjd4,34,6384,436,280429,144,129639,321300,1.62E+12,5488088,199452,202038,196460,TRUE
85572,85572,15240,49.204.230.151,b48b0889-b912-4f5b-b8de-27c4fe618a8b-10nw4,01c4d921-4352-42f8-96ca-420b2b828d68-1siz8,178,10346,10233,1799,144,129639,337642,1.62E+12,5599296,266737,196047,199452,FALSE
75694,75694,85030,0,6904d95b-f398-4cba-ac26-bbba3d5fc536-1sjwk,023c2632-4922-4133-a735-a85e6ea938a7-1sj4s,3290,6384,439,266906,144,129639,356952,1.62E+12,5488088,199522,202038,196460,FALSE
75694,75694,8359,0,a94328b6-5c9e-45cc-a591-ebea9aec25fd-1sjio,02ac641b-82fd-4a89-b173-200cf8d402ad-3qs8,19,6384,436,134237,144,129639,28,54,63,33,50,73,FALSE
86495,86495,15240,144,2d365fc2-a4a4-4ce1-9047-adc91b4651fd-6mkc,02dc39ca-639c-44cf-b0b6-7e90df031864-10nw4,178,10614,0,196063,144,129639,129239,1.62E+12,5615600,196047,264494,202038,FALSE
7750,7750,15240,144,090b1618-dfac-4dca-910e-3e4d8c56b13c,03d621ba-34d1-46c5-9788-23aa39019073-1sjts,283,1589,34755,1808,144,129433,236059,1.62E+12,5609973,162894,196041,360833,FALSE
